Text,Date,Open,Market_change
"I will be asking for a major investigation into VOTER FRAUD, including those registered to vote in two states, those who are illegal and even, those registered to vote who are dead (and many for a long time). Depending on results, we will strengthen up voting procedures!",2017-01-25,48152.63,0.26
"Spoke at the Congressional @GOP Retreat in Philadelphia, PA. this afternoon w/ @VP, @SenateMajLdr, @SpeakerRyan. Thank you for your support! ",2017-01-26,48280.47,-1.38
"Ungrateful TRAITOR Chelsea Manning, who should never have been released from prison, is now calling President Obama a weak leader. Terrible!",2017-01-26,48280.47,-1.38
"The failing @nytimes has been wrong about me from the very beginning. Said I would lose the primaries, then the general election. FAKE NEWS!",2017-01-30,47611.44,-0.69
"The joint statement of former presidential candidates John McCain and Lindsey Graham is wrong - they are sadly weak on immigration. The two Senators should focus their energies on ISIS, illegal immigration and border security instead of always looking to start World War III.",2017-01-30,47611.44,-0.69
Somebody with aptitude and conviction should buy the FAKE NEWS and failing @nytimes and either run it correctly or let it fold with dignity!,2017-01-30,47611.44,-0.69
The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.,2017-01-31,47131.23,-0.19
Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!,2017-02-02,47019.85,0.18
Attending Chief Ryan Owens' Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!,2017-02-02,47019.85,0.18
Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!,2017-02-02,47019.85,0.18
"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!",2017-02-03,47097.51,0.28
"What is our country coming to when a judge can halt a Homeland Security travel ban and anyone, even with bad intentions, can come into U.S.?",2017-02-07,47228.04,-1.05
"Because the ban was lifted by a judge, many very bad and dangerous people may be pouring into our country. A terrible decision",2017-02-07,47228.04,-1.05
The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!,2017-02-07,47228.04,-1.05
Just cannot believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!,2017-02-07,47228.04,-1.05
"The failing @nytimes writes total fiction concerning me. They have gotten it wrong for two years, and now are making up stories and sources!",2017-02-07,47228.04,-1.05
"I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1 in terror, no problem!",2017-02-07,47228.04,-1.05
"The threat from radical Islamic terrorism is very real, just look at what is happening in Europe and the Middle-East. Courts must act fast!",2017-02-07,47228.04,-1.05
The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!,2017-02-07,47228.04,-1.05
"It is a disgrace that my full Cabinet is still not in place, the longest such delay in the history of our country. Obstruction by Democrats!",2017-02-08,46767.22,0.41
My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!,2017-02-08,46767.22,0.41
"Thank you Brian Krzanich, CEO of @Intel. A great investment ($7 BILLION) in American INNOVATION and JOBS! #AmericaFirst ",2017-02-08,46767.22,0.41
'Immigration Ban Is One Of Trump's Most Popular Orders So Far' ,2017-02-08,46767.22,0.41
"'Majority in Leading EU Nations Support Trump-Style Travel Ban' Poll of more than 10,000 people in 10 countries..",2017-02-08,46767.22,0.41
"Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so long he doesn't know how to win anymore, just look at the mess our country is in - bogged down in conflict all over the place. Our hero Ryan died on a winning mission ( according to General Mattis), not a ""failure."" Time for the U.S. to get smart and start winning again!",2017-02-09,46907.01,0.66
"The failing @nytimes does major FAKE NEWS China story saying ""Mr.Xi has not spoken to Mr. Trump since Nov.14."" We spoke at length yesterday!",2017-02-10,47222.94,1.2
"I am reading that the great border WALL will cost more than the government originally thought, but I have not gotten involved in the design or negotiations yet. When I do, just like with the F-35 FighterJet or the Air Force One Program, price will come WAY DOWN!",2017-02-13,47798.38,-0.28
"A working dinner tonight with Prime Minister Abe of Japan, and his representatives, at the Winter White House (Mar-a-Lago). Very good talks!",2017-02-13,47798.38,-0.28
"I am so proud of my daughter Ivanka. To be abused and treated so badly by the media, and to still hold her head so high, is truly wonderful!",2017-02-13,47798.38,-0.28
The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?,2017-02-14,47650.24,-0.57
Great parent-teacher listening session this morning with @VP Pence and @usedgov Secretary @BetsyDeVos. Watch: ,2017-02-14,47650.24,-0.57
Information is being illegally given to the failing @nytimes and @washingtonpost by the intelligence community (NSA and FBI?).Just like Russia,2017-02-15,47392.44,-0.48
"Thank you to Eli Lake of The Bloomberg View - ""The NSA and FBI...should not interfere in our politics...and is"" Very serious situation for USA",2017-02-15,47392.44,-0.48
"Venezuela should allow Leopoldo Lopez, a political prisoner and husband of @liliantintori (just met w/ @marcorubio) out of prison immediately. ",2017-02-16,47165.68,0.28
"Leaking, and even illegal classified leaking, has been a big problem in Washington for years. Failing @nytimes (and others) must apologize!",2017-02-16,47165.68,0.28
"Despite the long delays by the Democrats in finally approving Dr. Tom Price, the repeal and replacement of ObamaCare is moving fast!",2017-02-17,47303.05,-0.27
Thank you for all of the nice statements on the Press Conference yesterday. Rush Limbaugh said one of greatest ever. Fake media not happy!,2017-02-17,47303.05,-0.27
"""One of the most effective press conferences I've ever seen!"" says Rush Limbaugh. Many agree.Yet FAKE MEDIA calls it differently! Dishonest",2017-02-20,47159.16,-0.17
"The so-called angry crowds in home districts of some Republicans are actually, in numerous cases, planned out by liberal activists. Sad!",2017-02-22,47614.69,-0.88
"One thing I will say about Rep. Keith Ellison, in his fight to lead the DNC, is that he was the one who predicted early that I would win!",2017-02-22,47614.69,-0.88
Seven people shot and killed yesterday in Chicago. What is going on there - totally out of control. Chicago needs help!,2017-02-24,47215.56,-0.34
Trump vows to fight 'epidemic' of human trafficking ,2017-02-24,47215.56,-0.34
I will not be attending the White House Correspondents' Association Dinner this year. Please wish everyone well and have a great evening!,2017-02-27,47040.95,0.64
FAKE NEWS media knowingly doesn't tell the truth. A great danger to our country. The failing @nytimes has become a joke. Likewise @CNN. Sad!,2017-02-27,47040.95,0.64
"Big dinner with Governors tonight at White House. Much to be discussed, including healthcare.",2017-02-27,47040.95,0.64
"Congratulations to Thomas Perez, who has just been named Chairman of the DNC. I could not be happier for him, or for the Republican Party!",2017-02-27,47040.95,0.64
For first time the failing @nytimes will take an ad (a bad one) to help save its failing reputation. Try reporting accurately and fairly!,2017-02-27,47040.95,0.64
"Russia talk is FAKE NEWS put out by the Dems, and played up by the media, in order to mask the big election defeat and the illegal leaks!",2017-02-27,47040.95,0.64
"GOP now viewed more favorably than Dems, in Trump era (per NBC/WSJ poll) via @HotlineJosh:",2017-02-27,47040.95,0.64
"Since November 8th, Election Day, the Stock Market has posted $3.2 trillion in GAINS and consumer confidence is at a 15 year high. Jobs!",2017-03-02,47458.69,-0.35
"Jeff Sessions is an honest man. He did not say anything wrong. He could have stated his response more accurately, but it was clearly not intentional. This whole narrative is a way of saving face for Democrats losing an election that everyone thought they were supposed to win. The Democrats are overplaying their hand. They lost the election, and now they have lost their grip on reality. The real story is all of the illegal leaks of classified and other information. It is a total ""witch hunt!""",2017-03-03,47292.3,0.27
How low has President Obama gone to tapp my phones during the very sacred election process. This is Nixon/Watergate. Bad (or sick) guy!,2017-03-06,47407.29,0.99
"Just out: The same Russian Ambassador that met Jeff Sessions visited the Obama White House 22 times, and 4 times last year alone.",2017-03-06,47407.29,0.99
"The first meeting Jeff Sessions had with the Russian Amb was set up by the Obama Administration under education program for 100 Ambs Terrible! Just found out that Obama had my ""wires tapped"" in Trump Tower just before the victory. Nothing found. This is McCarthyism!",2017-03-06,47407.29,0.99
"I'd bet a good lawyer could make a great case out of the fact that President Obama was tapping my phones in October, just prior to Election!",2017-03-06,47407.29,0.99
Is it true the DNC would not allow the FBI access to check server or other equipment after learning it was hacked? Can that be possible?,2017-03-06,47407.29,0.99
"For eight years Russia ""ran over"" President Obama, got stronger and stronger, picked-off Crimea and added missiles. Weak! @foxandfriends",2017-03-07,47883.99,-0.97
I feel sure that my friend @RandPaul will come along with the new and great health care program because he knows Obamacare is a disaster!,2017-03-08,47410.19,0.25
"Great news. We are only just beginning. Together, we are going to #MAGA! ",2017-03-09,47538.82,-0.58
'U.S. Consumer Comfort Just Reached Its Highest Level in a D`ecade' ,2017-03-10,47262.91,-0.34
Honored to meet this years @SenateYouth delegates w/ @VP Pence in the East Room of the @WhiteHouse. Congratulations! ,2017-03-10,47262.91,-0.34
"Can you imagine what the outcry would be if @SnoopDogg, failing career and all, had aimed and fired the gun at President Obama? Jail time!",2017-03-15,47087.77,0.81
"Will be going to Detroit, Michigan (love), today for a big meeting on bringing back car production to State and U.S. Already happening!",2017-03-15,47087.77,0.81
CEO's most optimistic since 2009. It will only get better as we continue to slash unnecessary regulations and when we begin our big tax cut!,2017-03-15,47087.77,0.81
"An honor to welcome the Taoiseach of Ireland, @EndaKennyTD to the @WhiteHouse today with @VP Pence. ",2017-03-16,47496.0,1.23
"Despite what you have heard from the FAKE NEWS, I had a GREAT meeting with German Chancellor Angela Merkel. Nevertheless, Germany owes vast sums of money to NATO and the United States must be paid more for the powerful, and very expensive, defense it provides to Germany!",2017-03-21,48593.64,-0.01
James Clapper and others stated that there is no evidence Potus colluded with Russia. This story is FAKE NEWS and everyone knows it!,2017-03-21,48593.64,-0.01
"The real story that Congress, the FBI and all others should be looking into is the leaking of Classified information. Must find leaker now!",2017-03-21,48593.64,-0.01
Big day for healthcare. Working hard!,2017-03-22,48592.26,-0.21
"A great American, Kurt Cochran, was killed in the London terror attack. My prayers and condolences are with his family and friends.",2017-03-23,48481.15,0.39
We are taking action to #RepealANDReplace #Obamacare! Contact your Rep and tell them you support #AHCA. #PassTheBill ,2017-03-23,48481.15,0.39
ObamaCare will explode and we will all get together and piece together a great healthcare plan for THE PEOPLE. Do not worry!,2017-03-27,49082.89,0.47
"Democrats are smiling in D.C. that the Freedom Caucus, with the help of Club For Growth and Heritage, have saved Planned Parenthood and Ocare!",2017-03-27,49082.89,0.47
The Republican House Freedom Caucus was able to snatch defeat from the jaws of victory. After so many bad years they were ready for a win!,2017-03-28,49310.77,0.05
Big announcement by Ford today. Major investment to be made in three Michigan plants. Car companies coming back to U.S. JOBS! JOBS! JOBS!,2017-03-28,49310.77,0.05
It was an honor to welcome @GLFOP to the @WhiteHouse today with @VP Pence and Attorney General Sessions. THANK YOU for all you do 24/7/365! ,2017-03-28,49310.77,0.05
Why doesn't Fake News talk about Podesta ties to Russia as covered by @FoxNews or money from Russia to Clinton - sale of Uranium?,2017-03-29,49335.81,-0.61
"Remember when the failing @nytimes apologized to its subscribers, right after the election, because their coverage was so wrong. Now worse!",2017-03-29,49335.81,-0.61
Today we honored our true American heroes on the first-ever National Vietnam War Veterans Day.#ThankAVeteran ,2017-03-30,49032.09,-0.35
"The Freedom Caucus will hurt the entire Republican agenda if they don't get on the team, and fast. We must fight them, and Dems, in 2018!",2017-03-30,49032.09,-0.35
The failing @nytimes has disgraced the media world. Gotten me wrong for two solid years. Change libel laws? ,2017-03-30,49032.09,-0.35
Only by enlisting the full potential of women in our society will we be truly able to #MakeAmericaGreatAgain ,2017-03-31,48863.13,-0.66
'Trump Celebrates American Manufacturing Survey Showing Highest Level of Optimism in 20 Years' ,2017-03-31,48863.13,-0.66
"The failing @nytimes finally gets it - ""In places where no insurance company offers plans, there will be no way for ObamaCare customers to use subsidies to buy health plans."" In other words, Ocare is dead. Good things will happen, however, either with Republicans or Dems.",2017-04-03,48549.23,0.57
"Wow, @FoxNews just reporting big news. Source: ""Official behind unmasking is high up. Known Intel official is responsible. Some unmasked not associated with Russia. Trump team spied on before he was nominated."" If this is true, does not get much bigger. Would be sad for U.S.",2017-04-03,48549.23,0.57
The real story turns out to be SURVEILLANCE and LEAKING! Find the leakers.,2017-04-03,48549.23,0.57
"Such amazing reporting on unmasking and the crooked scheme against us by @foxandfriends. ""Spied on before nomination."" The real story.",2017-04-03,48549.23,0.57
Judge Gorsuch will be sworn in at the Rose Garden of the White House on Monday at 11:00 A.M. He will be a great Justice. Very proud of him!,2017-04-10,49339.65,0.4
So sad to hear of the terrorist attack in Egypt. U.S. strongly condemns. I have great confidence that President Al Sisi will handle situation properly.,2017-04-10,49339.65,0.4
"Happy Passover to everyone celebrating in the United States of America, Israel, and around the world. #ChagSameach",2017-04-11,49540.76,0.2
"Great win in Kansas last night for Ron Estes, easily winning the Congressional race against the Dems, who spent heavily and predicted victory!",2017-04-12,49607.29,-1.37
Great meeting w/ NATO Sec. Gen. We agreed on the importance of getting countries to pay their fair share and focus on the threat of terrorism. ,2017-04-12,49607.29,-1.37
Things will work out fine between the U.S.A. and Russia. At the right time everyone will come to their senses and there will be lasting peace!,2017-04-17,48969.04,0.11
"Jobs are returning, illegal immigration is plummeting, law, order and justice are being restored. We are truly making America great again!",2017-04-17,48969.04,0.11
Economic confidence is soaring as we unleash the power of private sector job creation and stand up for the American Workers. #AmericaFirst,2017-04-17,48969.04,0.11
"Our military is building and is rapidly becoming stronger than ever before. Frankly, we have no choice!",2017-04-17,48969.04,0.11
The Fake Media (not Real Media) has gotten even worse since the election. Every story is badly slanted. We have to hold them to the truth!,2017-04-17,48969.04,0.11
"The super Liberal Democrat in the Georgia Congressioal race tomorrow wants to protect criminals, allow illegal immigration and raise taxes!",2017-04-17,48969.04,0.11
Republicans must get out today and VOTE in Georgia 6. Force runoff and easy win! Dem Ossoff will raise your taxes-very bad on crime and 2nd A.,2017-04-18,49010.22,-0.51
"Just learned that Jon @Ossoff, who is running for Congress in Georgia, doesn't even live in the district. Republicans, get out and vote!",2017-04-18,49010.22,-0.51
"With eleven Republican candidates running in Georgia (on Tuesday) for Congress, a runoff will be a win. Vote ""R"" for lower taxes and safety!",2017-04-18,49010.22,-0.51
"Despite major outside money, FAKE media support and eleven Republican candidates, BIG ""R"" win with runoff in Georgia. Glad to be of help!",2017-04-19,48765.55,0.23
Dems failed in Kansas and are now failing in Georgia. Great job Karen Handel! It is now Hollywood vs. Georgia on June 20th.,2017-04-19,48765.55,0.23
Today I signed the Veterans (OUR HEROES) Choice Program Extension and Improvement Act @ the @WhiteHouse. #S544 Watch ,2017-04-19,48765.55,0.23
"Failing @nytimes, which has been calling me wrong for two years, just got caught in a big lie concerning New England Patriots visit to W.H.",2017-04-20,48882.27,0.55
I am committed to keeping our air and water clean but always remember that economic growth enhances environmental protection. Jobs matter!,2017-04-24,48969.69,0.91
Getting ready to visit Walter Reed Medical Center with Melania. Looking forward to seeing our bravest and greatest Americans!,2017-04-24,48969.69,0.91
New polls out today are very good considering that much of the media is FAKE and almost always negative. Would still beat Hillary in  popular vote. ABC News/Washington Post Poll (wrong big on election) said almost all stand by their vote on me and 53% said strong leader.,2017-04-24,48969.69,0.91
"The two fake news polls released yesterday, ABC and NBC, while containing some very positive info, were totally wrong in General E. Watch!",2017-04-24,48969.69,0.91
"The Wall is a very important tool in stopping drugs from pouring into our country and poisoning our youth (and many others)! If .the wall is not built, which it will be, the drug situation will NEVER be fixed the way it should be!#BuildTheWall",2017-04-24,48969.69,0.91
"If our healthcare plan is approved, you will see real healthcare and premiums will start tumbling down. ObamaCare is in a death spiral!",2017-04-24,48969.69,0.91
"Don't let the fake media tell you that I have changed my position on the WALL. It will get built and help stop drugs, human trafficking etc.",2017-04-25,49411.34,0.8
"Today, I signed an Executive Order on Enforcing Statutory Prohibitions on Federal Control of Education. EO: ",2017-04-26,49807.85,-0.49
"Today, I signed an Executive Order @ the U.S. Dept. of @Interior: 'Review of Designations Under the Antiquities Act' ",2017-04-26,49807.85,-0.49
"Out of our very big country, with many choices, does everyone notice that both the ""ban"" case and now the ""sanctuary"" case is brought in  the Ninth Circuit, which has a terrible record of being overturned (close to 80%). They used to call this ""judge shopping!"" Messy system.",2017-04-26,49807.85,-0.49
The U.S. recorded its slowest economic growth in five years (2016). GDP up only 1.6%. Trade deficits hurt the economy very badly.,2017-04-26,49807.85,-0.49
"Presidential Memorandum for the @CommerceGov, @SecretaryRoss re: Aluminum Imports and Threats to National Security: ",2017-04-27,49552.32,-0.25
Democrats jeopardizing the safety of our troops to bail out their donors from insurance companies. It is time to put #AmericaFirst,2017-04-27,49552.32,-0.25
The Democrats want to shut government if we don't bail out Puerto Rico and give billions to their insurance companies for OCare failure. NO!,2017-04-27,49552.32,-0.25
"I received calls from the President of Mexico and the Prime Minister of Canada asking to renegotiate NAFTA rather than terminate. I agreed subject to the fact that if we do not reach a fair deal for all, we will then terminate NAFTA. Relationships are good-deal very possible!",2017-04-27,49552.32,-0.25
I promise to rebuild our military and secure our border. Democrats want to shut down the government. Politics!,2017-04-27,49552.32,-0.25
"Today, I signed an Executive Order on Improving Accountability and Whistleblower Protection at the @DeptVetAffairs: ",2017-04-28,49444.98,-0.36
"North Korea disrespected the wishes of China and its highly respected President when it launched, though unsuccessfully, a missile today. Bad!",2017-05-02,49260.12,0.66
Big excitement last night in the Great State of Pennsylvania! Fantastic crowd and people. MAKE AMERICA GREAT AGAIN!,2017-05-02,49260.12,0.66
You can't compare anything to ObamaCare because ObamaCare is dead. Dems want billions to go to Insurance Companies to bail out donors....New healthcare plan is on its way. Will have much lower premiums and deductibles while at the same time taking care of preexisting conditions!,2017-05-02,49260.12,0.66
#ICYMI- On Saturday I signed two EO's to help keep jobs and wealth in our country.EO1: EO2: ,2017-05-02,49260.12,0.66
"President Andrew Jackson, who died 16 years before the Civil War started, saw it coming and was angry. Would never have let it happen!",2017-05-02,49260.12,0.66
It was an honor to stop by a #SchoolChoice event hosted by @VP Pence and @usedgov Secretary @BetsyDeVosED at the @WhiteHouse today. ,2017-05-03,49540.3,-0.99
"If victorious, Republicans will be having a big press conference at the beautiful Rose Garden of the White House immediately after vote!",2017-05-04,49098.06,-0.21
Insurance companies are fleeing ObamaCare - it is dead. Our healthcare plan will lower premiums and deductibles - and be great healthcare!,2017-05-04,49098.06,-0.21
"Wow,the Fake News media did everything in its power to make the Republican Healthcare victory look as bad as possible.Far better than Ocare!",2017-05-08,49491.42,0.04
Why is it that the Fake News rarely reports Ocare is on its last legs and that insurance companies are fleeing for their lives? It's dead!,2017-05-08,49491.42,0.04
When will the Fake Media ask about the Dems dealings with Russia and why the DNC wouldn't allow the FBI to check their server or investigate?,2017-05-08,49491.42,0.04
"Honored to welcome Georgia Prime Minister, Giorgi Kvirikashvili to the @WhiteHouse today with @VP Mike Pence. ",2017-05-08,49491.42,0.04
"Director Clapper reiterated what everybody, including the fake media already knows- there is ""no evidence"" of collusion w/ Russia and Trump.",2017-05-09,49503.04,0.88
Sally Yates made the fake media extremely unhappy today --- she said nothing but old news!,2017-05-09,49503.04,0.88
Biggest story today between Clapper and Yates is on surveillance. Why doesn't the media report on this? #FakeNews!,2017-05-09,49503.04,0.88
"'Manufacturing openings, hires rise to highest levels of the recovery'",2017-05-09,49503.04,0.88
"Watching Senator Richard Blumenthal speak of Comey is a joke. ""Richie"" devised one of the greatest military frauds in U.S. history. For years, as a pol in Connecticut, Blumenthal would talk of his great bravery and conquests in Vietnam - except he was never there. When caught, he cried like a baby and begged for forgiveness...and now he is judge and jury. He should be the one who is investigated for his acts.",2017-05-10,49941.49,-0.02
Russia must be laughing up their sleeves watching as the U.S. tears itself apart over a Democrat EXCUSE for losing the election.,2017-05-11,49930.73,-0.8
The Democrats should be ashamed. This is a disgrace!#DrainTheSwamp ,2017-05-11,49930.73,-0.8
'Presidential Executive Order on Strengthening the Cybersecurity of Federal Networks and Critical Infrastructure' ,2017-05-11,49930.73,-0.8
'Presidential Executive Order on the Establishment of Presidential Advisory Commission on Election Integrity' ,2017-05-11,49930.73,-0.8
"When James Clapper himself, and virtually everyone else with knowledge of the witch hunt, says there is no collusion, when does it end?",2017-05-12,49531.87,-0.21
"Again, the story that there was collusion between the Russians and Trump campaign was fabricated by Dems as an excuse for losing the election.",2017-05-12,49531.87,-0.21
Wishing @FLOTUS Melania and all of the great mothers out there a wonderful day ahead with family and friends! Happy #MothersDay,2017-05-15,49433.95,0.51
"Today, I delivered remarks at the 36th Annual National Peace Officers' Memorial Service. #NationalPoliceWeekWatch: ",2017-05-15,49433.95,0.51
"As President I wanted to share with Russia (at an openly scheduled W.H. meeting) which I have the absolute right to do, facts pertaining to terrorism and airline flight safety. Humanitarian reasons, plus I want Russia to greatly step up their fight against ISIS and terrorism.",2017-05-16,49680.1,-0.44
"Great to be in Riyadh, Saudi Arabia. Looking forward to the afternoon and evening ahead. #POTUSAbroad ",2017-05-22,49056.73,-0.25
