Text,Market_change
Only reason the hacking of the poorly defended DNC is discussed is that the loss by the Dems was so big that they are totally embarrassed!,NC
"Having a good relationship with Russia is a good thing, not a bad thing. Only ""stupid"" people, or fools, would think that it is bad! We have enough problems around the world without yet another one. When I am President, Russia will respect us far more than they do now and both countries will, perhaps, work together to solve some of the many great and pressing problems and issues of the WORLD!",NC
"Before I, or anyone, saw the classified and/or highly confidential hacking intelligence report, it was leaked out to @NBCNews. So serious!",NC
"I look very much forward to meeting Prime Minister Theresa May in Washington in the Spring. Britain, a longtime U.S. ally, is very special!",NC
Congratulation to Jane Timken on her major upset victory in becoming the Ohio Republican Party Chair. Jane is a loyal Trump supporter and star,NC
Dishonest media says Mexico won't be paying for the wall if they pay a little later so the wall can be built more quickly. Media is fake!,Up
Rupert Murdoch is a great guy who likes me much better as a very successful candidate than he ever did as a very successful developer!,Up
"Meryl Streep, one of the most over-rated actresses in Hollywood, doesn't know me but attacked last night at the Golden Globes. She is a Hillary flunky who lost big. For the 100th time, I never ""mocked"" a disabled reporter (would never do that) but simply showed him ""groveling"" when he totally changed a 16 year old story that he had written in order to make me look bad. Just more very dishonest media!",Up
"It's finally happening - Fiat Chrysler just announced plans to invest $1BILLION in Michigan and Ohio plants, adding 2000 jobs. This after Ford said last week that it will expand in Michigan and U.S. instead of building a BILLION dollar plant in Mexico. Thank you Ford and Fiat C!",Up
Thank you to all of the men and women who protect and serve our communities 24/7/365! #LawEnforcementAppreciationDay ,Down
'U.S. Small-Business Optimism Index Surges by Most Since 1980',Down
'Small business optimism soars after Trump election' ,Down
'Trump Helps Lift Small Business Confidence to 12-Yr. High' ,Up
"Russia just said the unverified report paid for by political opponents is ""A COMPLETE AND TOTAL FABRICATION, UTTER NONSENSE."" Very unfair!",Up
"Russia has never tried to use leverage over me. I HAVE NOTHING TO DO WITH RUSSIA - NO DEALS, NO LOANS, NO NOTHING!",Up
"I win an election easily, a great ""movement"" is verified, and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state!",Up
"Intelligence agencies should never have allowed this fake news to ""leak"" into the public. One last shot at me.Are we living in Nazi Germany?",Up
Congrats to the Senate for taking the first step to #RepealObamacare- now it's onto the House!,NC
.@CNN is in a total meltdown with their FAKE NEWS because their ratings are tanking since election and their credibility will soon be gone!,NC
"""@zhu_amy3: @realDonaldTrump It's Morning in America again!!! Thank you President-Elect Donald Trump!!! So proud of you!!!!"" THANKS!",NC
"James Clapper called me yesterday to denounce the false and fictitious report that was illegally circulated. Made up, phony facts.Too bad!",NC
We had a great News Conference at Trump Tower today. A couple of FAKE NEWS organizations were there but the people truly get what's going on,NC
Thank you to Linda Bean of L.L.Bean for your great support and courage. People will support you even more now. Buy L.L.Bean. @LBPerfectMaine,NC
"All of my Cabinet nominee are looking good and doing a great job. I want them to be themselves and express their own thoughts, not mine!",Up
"It now turns out that the phony allegations against me were put together by my political opponents and a failed spy afraid of being sued Totally made up facts by sleazebag political operatives, both Democrats and Republicans - FAKE NEWS! Russia says nothing exists. Probably released by ""Intelligence"" even knowing there is no proof, and never will be. My people will have a full report on hacking within 90 days!",Up
What are Hillary Clinton's people complaining about with respect to the F.B.I. Based on the information they had she should never have been allowed to run - guilty as hell. They were VERY nice to her. She lost because she campaigned in the wrong states - no enthusiasm!,Up
"The ""Unaffordable"" Care Act will soon be history!",Up
"A beautiful funeral today for a real NYC hero, Detective Steven McDonald. Our law enforcement community has my complete and total support.",Up
"Congressman John Lewis should spend more time on fixing and helping his district, which is in horrible shape and falling apart (not to mention crime infested) rather than falsely complaining about the election results. All talk, talk, talk - no action or results. Sad!",NC
"INTELLIGENCE INSIDERS NOW CLAIM THE TRUMP DOSSIER IS ""A COMPLETE FRAUD!"" @OANN",NC
"For many years our country has been divided, angry and untrusting. Many say it will never change, the hatred is too deep. IT WILL CHANGE!!!!",NC
"will only get higher. Car companies and others, if they want to do business in our country, have to start making things here again. WIN!",NC
"Thank you to Bob Woodward who said, ""That is a garbage document...it never should have been presented...Trump's right to be upset (angry) about that...Those Intelligence chiefs made a mistake here, and when people make mistakes, they should APOLOGIZE."" Media should also apologize",NC
"Inauguration Day is turning out to be even bigger than expected. January 20th, Washington D.C. Have fun!",NC
"The Democrats are most angry that so many Obama Democrats voted for me. With all of the jobs I am bringing back to our Nation, that number..",NC
Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!,NC
".@NBCNews is bad but Saturday Night Live is the worst of NBC. Not funny, cast is terrible, always a complete hit job. Really bad television!",Down
".@FoxNews ""Outgoing CIA Chief, John Brennan, blasts Pres-Elect Trump on Russia threat. Does not fully understand."" Oh really, couldn't do much worse - just look at Syria (red line), Crimea, Ukraine and the build-up of Russian nukes. Not good! Was this the leaker of Fake News?",Down
Celebrate Martin Luther King Day and all of the many wonderful things that he stood for. Honor him for being the great man that he was!,Down
"""@levisteveholt: @realDonaldTrump I appreciate your use of Twitter to keep us informed and maintain transparency."" Very dishonest media!",Up
"At 9:00 P.M. @CNN, of all places, is doing a Special Report on my daughter, Ivanka. Considering it is CNN, can't imagine it will be great!",Up
"""@drgoodspine: @realDonaldTrump @Ivanka Trump is great, a woman with real character and class.""",Up
"People are pouring into Washington in record numbers. Bikers for Trump are on their way. It will be a great Thursday, Friday and Saturday!",Up
"The same people who did the phony election polls, and were so wrong, are now doing approval rating polls. They are rigged just like before.",Up
"With all of the jobs I am bringing back into the U.S. (even before taking office), with all of the new auto plants coming back into our country and with the massive cost reductions I have negotiated on military purchases and more, I believe the people are seeing ""big stuff.""",Up
"John Lewis said about my inauguration, ""It will be the first one that I've missed."" WRONG (or lie)! He boycotted Bush 43 also because he ""thought it would be hypocritical to attend Bush's swearing-in....he doesn't believe Bush is the true elected president."" Sound familiar! WP",Up
Thank you to General Motors and Walmart for starting the big jobs push back into the U.S.!,Up
"Writing my inaugural address at the Winter White House, Mar-a-Lago, three weeks ago. Looking forward to Friday. #Inauguration ",Down
No wonder the Today Show on biased @NBC is doing so badly compared to its glorious past. Little credibility!,Down
.@TheAlabamaBand was great last night in D.C. playing for 147 Diplomats and Ambassadors from countries around the world. Thanks Alabama!,Down
Thank you to our amazing Wounded Warriors for their service. It was an honor to be with them tonight in D.C. #Heroes ,Up
"""It wasn't Donald Trump that divided this country, this country has been divided for a long time!"" Stated today by Reverend Franklin Graham.",Up
"Getting ready to leave for Washington, D.C. The journey begins and I will be working and fighting very hard to make it a great journey for..",Up
"Looking forward to a speedy recovery for George and Barbara Bush, both hospitalized. Thank you for your wonderful letter!",Up
It all begins today! I will see you at 11:00 A.M. for the swearing-in. THE MOVEMENT CONTINUES - THE WORK BEGINS!,Up
"Today we are not merely transferring power from one Administration to another, or from one party to another - but we are transferring power from Washington, D.C. and giving it back to you, the American People. #InaugurationDay",Up
"What truly matters is not which party controls our government, but whether our government is controlled by the people.",Up
"January 20th 2017, will be remembered as the day the people became the rulers of this nation again.",Up
"The forgotten men and women of our country will be forgotten no longer. From this moment on, it's going to be #AmericaFirst",Up
We will bring back our jobs. We will bring back our borders. We will bring back our wealth - and we will bring back our dreams!,Up
We will follow two simple rules: BUY AMERICAN and HIRE AMERICAN!#InaugurationDay #MAGA,Up
"So to all Americans, in every city near and far, small and large, from mountain to mountain..",Up
A fantastic day and evening in Washington D.C.Thank you to @FoxNews and so many other news outlets for the GREAT reviews of the speech!,NC
"Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views.",NC
Watched protests yesterday but was under the impression that we just had an election! Why didn't these people vote? Celebs hurt cause badly.,NC
"Had a great meeting at CIA Headquarters yesterday, packed house, paid great respect to Wall, long standing ovations, amazing people. WIN!",NC
"Wow, television ratings just out: 31 million people watched the Inauguration, 11 million more than the very good ratings from 4 years ago!",NC
Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,NC
Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!,Down
A photo delivered yesterday that will be displayed in the upper/lower press hall. Thank you Abbas! ,Down
"Great meeting with automobile industry leaders at the @WhiteHouse this morning. Together, we will #MAGA! ",Down
Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Office. ,Down
Great meeting with Ford CEO Mark Fields and General Motors CEO Mary Barra at the @WhiteHouse today. ,NC
Congratulations to @FoxNews for being number one in inauguration ratings. They were many times higher than FAKE NEWS @CNN - public is smart!,NC
"If Chicago doesn't fix the horrible ""carnage"" going on, 228 shootings in 2017 with 42 killings (up 24% from 2016), I will send in the Feds!",NC
"Big day planned on NATIONAL SECURITY tomorrow. Among many other things, we will build the wall!",NC
"I will be asking for a major investigation into VOTER FRAUD, including those registered to vote in two states, those who are illegal and even, those registered to vote who are dead (and many for a long time). Depending on results, we will strengthen up voting procedures!",NC
I will be making my Supreme Court pick on Thursday of next week.Thank you!,NC
"Spoke at the Congressional @GOP Retreat in Philadelphia, PA. this afternoon w/ @VP, @SenateMajLdr, @SpeakerRyan. Thank you for your support! ",Down
"The U.S. has a 60 billion dollar trade deficit with Mexico. It has been a one-sided deal from the beginning of NAFTA with massive numbers of jobs and companies lost. If Mexico is unwilling to pay for the badly needed wall, then it would be better to cancel the upcoming meeting.",Down
"""@romoabcnews: .@DavidMuir first @POTUS interview since taking office. Tonight on @ABCWorldNews @ABC2020 tonight. ",Down
"As your President, I have no higher duty than to protect the lives of the American people. ",Down
"Beginning today, the United States of America gets back control of its borders. Full speech from today @DHSgov: ",Down
"Ungrateful TRAITOR Chelsea Manning, who should never have been released from prison, is now calling President Obama a weak leader. Terrible!",Down
Miami-Dade Mayor drops sanctuary policy. Right decision. Strong! ,Up
"Look forward to seeing final results of VoteStand. Gregg Phillips and crew say at least 3,000,000 votes were illegal. We must do better!",Up
"Mexico has taken advantage of the U.S. for long enough. Massive trade deficits and little help on the very weak border must change, NOW!",Up
The #MarchForLife is so important. To all of you marching --- you have my full support!,Up
.@VP Mike Pence will be speaking at today's #MarchForLife -- You have our full support! ,Up
Statement on International Holocaust Remembrance Day: ,Up
I promise that our administration will ALWAYS have your back. We will ALWAYS be with you! ,NC
"The failing @nytimes has been wrong about me from the very beginning. Said I would lose the primaries, then the general election. FAKE NEWS!",NC
"Thr coverage about me in the @nytimes and the @washingtonpost gas been so false and angry that the times actually apologized to its dwindling subscribers and readers.They got me wrong right from the beginning and still have not changed course, and never will. DISHONEST",NC
"Today, we remember the crew of the Space Shuttle Challenger, 31 years later. #NeverForget ",NC
"The joint statement of former presidential candidates John McCain and Lindsey Graham is wrong - they are sadly weak on immigration. The two Senators should focus their energies on ISIS, illegal immigration and border security instead of always looking to start World War III.",NC
"Our country needs strong borders and extreme vetting, NOW. Look what is happening all over Europe and, indeed, the world - a horrible mess!",NC
Christians in the Middle-East have been executed in large numbers. We cannot allow this horror to continue!,NC
Somebody with aptitude and conviction should buy the FAKE NEWS and failing @nytimes and either run it correctly or let it fold with dignity!,NC
"The American dream is back. We're going to create an environment for small business like we haven't had in many, many decades! ",Down
Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?,Down
"Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage, protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!",Down
"If the ban were announced with a one week notice, the ""bad"" would rush into our country during that week. A lot of bad ""dudes"" out there!",Down
There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!,Down
I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.),Down
The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.,Up
Nancy Pelosi and Fake Tears Chuck Schumer held a rally at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!,Up
When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!,Up
Getting ready to deliver a VERY IMPORTANT DECISION! 8:00 P.M.,Down
"Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man, respected by all.",Down
"Everybody is arguing whether or not it is a BAN. Call it what you want, it is about keeping bad people (with bad intentions) out of country!",Down
"Thank you, @Samsung! We would love to have you! ",NC
Iran was on its last legs and ready to collapse until the U.S. came along and gave it a life-line in the form of the Iran Deal: $150 billion,NC
Iran has been formally PUT ON NOTICE for firing a ballistic missile.Should have been thankful for the terrible deal the U.S. made with them!,NC
Attending Chief Ryan Owens' Dignified Transfer yesterday with my daughter Ivanka was my great honor. To a great and brave man - thank you!,NC
Congratulations to Rex Tillerson on being sworn in as our new Secretary of State. He will be a star!,NC
If U.C. Berkeley does not allow free speech and practices violence on innocent people with a different point of view - NO FEDERAL FUNDS?,NC
Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!,NC
Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!,NC
"Yes, Arnold Schwarzenegger did a really bad job as Governor of California and even worse on the Apprentice...but at least he tried hard!",Up
"Iran is playing with fire - they don't appreciate how ""kind"" President Obama was to them. Not me!",Up
Thank you to Prime Minister of Australia for telling the truth about our very civil conversation that FAKE NEWS media lied about. Very nice!,Up
"Meeting with biggest business leaders this morning. Good jobs are coming back to U.S., health care and tax bills are being crafted NOW!",Up
"Professional anarchists, thugs and paid protesters are proving the point of the millions of people who voted to MAKE AMERICA GREAT AGAIN!",Up
A new radical Islamic terrorist has just attacked in Louvre Museum in Paris. Tourists were locked down. France on edge again. GET SMART U.S.,Up
"What is our country coming to when a judge can halt a Homeland Security travel ban and anyone, even with bad intentions, can come into U.S.?",NC
"The opinion of this so-called judge, which essentially takes law-enforcement away from our country, is ridiculous and will be overturned!",NC
"Because the ban was lifted by a judge, many very bad and dangerous people may be pouring into our country. A terrible decision",NC
"After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS @nytimes is still lost!",NC
"When a country is no longer able to say who can, and who cannot , come in and out, especially for reasons of safety and.security - big trouble!",NC
Countries charge U.S. companies taxes or tariffs while the U.S. charges them nothing or little.We should charge them SAME as they charge us!,NC
Interesting that certain Middle-Eastern countries agree with the ban. They know if certain people are allowed in it's death and destruction!,NC
"Why aren't the lawyers looking at and using the Federal Court decision in Boston, which is at conflict with ridiculous lift ban decision?",NC
Interview with @oreillyfactor on Fox Network - 4:00 P.M. (prior to Super Bowl). Enjoy!,NC
The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!,NC
Just cannot believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!,NC
I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!,NC
Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!,Down
"What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!",Down
"Any negative polls are fake news, just like the CNN, ABC, NBC polls in the election. Sorry, people want border security and extreme vetting.",Down
"I call my own shots, largely based on an accumulation of data, and everyone knows it. Some FAKE NEWS media, in order to marginalize, lies!",Down
"The failing @nytimes writes total fiction concerning me. They have gotten it wrong for two years, and now are making up stories and sources!",Down
An honor having the National Sheriffs' Assoc. join me at the @WhiteHouse. Incredible men and women who protect and serve 24/7/365. THANK YOU!! ,Down
"I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1 in terror, no problem!",Down
"The threat from radical Islamic terrorism is very real, just look at what is happening in Europe and the Middle-East. Courts must act fast!",Down
An extended interview from the Super Bowl with @oreillyfactor airs tonight at 8:00 P.M. Enjoy! ,Down
The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!,Down
"It is a disgrace that my full Cabinet is still not in place, the longest such delay in the history of our country. Obstruction by Democrats!",NC
"If the U.S. does not win this case as it so obviously should, we can never have the security and safety to which we are entitled. Politics!",NC
My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!,NC
"Big increase in traffic into our country from certain areas, while our people are far more vulnerable, as we wait for what should be EASY D!",NC
"Thank you Brian Krzanich, CEO of @Intel. A great investment ($7 BILLION) in American INNOVATION and JOBS! #AmericaFirst ",NC
'Immigration Ban Is One Of Trump's Most Popular Orders So Far' ,NC
"'Majority in Leading EU Nations Support Trump-Style Travel Ban' Poll of more than 10,000 people in 10 countries..",NC
'Trump administration seen as more truthful than news media',NC
"Sen.Richard Blumenthal, who never fought in Vietnam when he said for years he had (major lie),now misrepresents what Judge Gorsuch told him?",NC
"Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave ""service"" in Vietnam. FAKE NEWS!",NC
"Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so long he doesn't know how to win anymore, just look at the mess our country is in - bogged down in conflict all over the place. Our hero Ryan died on a winning mission ( according to General Mattis), not a ""failure."" Time for the U.S. to get smart and start winning again!",NC
"Join us live in the Oval Office for the swearing in of our new Attorney General, @SenatorSessions!LIVE: ",NC
"The failing @nytimes does major FAKE NEWS China story saying ""Mr.Xi has not spoken to Mr. Trump since Nov.14."" We spoke at length yesterday!",Down
"LAWFARE: ""Remarkably, in the entire opinion, the panel did not bother even to cite this (the) statute."" A disgraceful decision!",Down
"SEE YOU IN COURT, THE SECURITY OF OUR NATION IS AT STAKE!",Down
Heading to Joint Base Andrews on #MarineOne with Prime Minister Shinzo earlier today. ,NC
"Our legal system is broken! ""77% of refugees allowed into U.S. since travel reprieve hail from seven suspect countries."" (WT) SO DANGEROUS!",NC
"I am reading that the great border WALL will cost more than the government originally thought, but I have not gotten involved in the design or negotiations yet. When I do, just like with the F-35 FighterJet or the Air Force One Program, price will come WAY DOWN!",NC
"Melania and I are hosting Japanese Prime Minister Shinzo Abe and Mrs. Abe at Mar-a-Lago in Palm Beach, Fla. They are a wonderful couple!",NC
Having a great time hosting Prime Minister Shinzo Abe in the United States! ,NC
Congratulations Stephen Miller- on representing me this morning on the various Sunday morning shows. Great job!,NC
"After two days of very productive talks, Prime Minister Abe is heading back to Japan. L",NC
"While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!",NC
"72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA and YEMEN",NC
I know Mark Cuban well. He backed me big-time but I wasn't interested in taking all of his calls.He's not smart enough to run for president!,NC
#ICYMI: Joint Statement with Prime Minister Shinzo Abe on North Korea. ,NC
"A working dinner tonight with Prime Minister Abe of Japan, and his representatives, at the Winter White House (Mar-a-Lago). Very good talks!",NC
"Played golf today with Prime Minister Abe of Japan and @TheBig_Easy, Ernie Els, and had a great time. Japan is very well represented!",NC
"I am so proud of my daughter Ivanka. To be abused and treated so badly by the media, and to still hold her head so high, is truly wonderful!",NC
"The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members, drug dealers and others are being removed!",NC
Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!,Down
Today I will meet with Canadian PM Trudeau and a group of leading business women to discuss women in the workforce. ,Down
Wonderful meeting with Canadian PM @JustinTrudeau and a group of leading CEO's and business women from Canada and the United States ,Down
Congratulations to our new #VASecretary Dr. David Shulkin. Time to take care of Veterans who have fought to protect our country! ,NC
The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?,NC
Great parent-teacher listening session this morning with @VP Pence and @usedgov Secretary @BetsyDeVos. Watch: ,NC
'Remarks by President Trump at Signing of H.J. Resolution 41' ,NC
"The real scandal here is that classified information is illegally given out by ""intelligence"" like candy. Very un-American!",Up
Aetna CEO: Obamacare in 'Death Spiral' #RepealAndReplace ,Up
Great listening session with CEO's of the Retail Industry Leaders Association this morning! ,Up
Crimea was TAKEN by Russia during the Obama Administration. Was Obama too soft on Russia?,Up
"Welcome to the United States, @IsraeliPM Benjamin and Sara!#ICYMI Joint Press Conference: ",Up
Information is being illegally given to the failing @nytimes and @washingtonpost by the intelligence community (NSA and FBI?).Just like Russia,Up
"Obamacare continues to fail. Humana to pull out in 2018. Will repeal, replace and save healthcare for ALL Americans. ",Up
"Thank you to Eli Lake of The Bloomberg View - ""The NSA and FBI...should not interfere in our politics...and is"" Very serious situation for USA",Up
This Russian connection non-sense is merely an attempt to cover-up the many mistakes made in Hillary Clinton's losing campaign.,Up
The fake news media is going crazy with their conspiracy theories and blind hatred. @MSNBC and @CNN are unwatchable. @foxandfriends is great!,Up
"Venezuela should allow Leopoldo Lopez, a political prisoner and husband of @liliantintori (just met w/ @marcorubio) out of prison immediately. ",Up
Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!,Up
"Leaking, and even illegal classified leaking, has been a big problem in Washington for years. Failing @nytimes (and others) must apologize!",Up
The spotlight has finally been put on the low-life leakers! They will be caught!,Up
"The Democrats had to come up with a story as to why they lost the election, and so badly (306), so they made up a story - RUSSIA. Fake news!",Up
"FAKE NEWS media, which makes up stories and ""sources,"" is far more effective than the discredited Democrats - but they are fading fast!",Up
'Trump signs bill undoing Obama coal mining rule' ,Down
"Despite the long delays by the Democrats in finally approving Dr. Tom Price, the repeal and replacement of ObamaCare is moving fast!",Down
"Going to Charleston, South Carolina, in order to spend time with Boeing and talk jobs! Look forward to it.",Down
Thank you for all of the nice statements on the Press Conference yesterday. Rush Limbaugh said one of greatest ever. Fake media not happy!,Down
"General Keith Kellogg, who I have known for a long time, is very much in play for NSA - as are three others.",Down
"Will be having many meetings this weekend at The Southern White House. Big 5:00 P.M. speech in Melbourne, Florida. A lot to talk about!",NC
Looking forward to the Florida rally tomorrow. Big crowd expected!,NC
"""One of the most effective press conferences I've ever seen!"" says Rush Limbaugh. Many agree.Yet FAKE MEDIA calls it differently! Dishonest",NC
Don't believe the main stream (fake news) media.The White House is running VERY WELL. I inherited a MESS and am in the process of fixing it.,NC
My statement as to what's happening in Sweden was in reference to a story that was broadcast on @FoxNews concerning immigrants and Sweden.,NC
Give the public a break - The FAKE NEWS media is trying to say that large scale immigration in Sweden is working out just beautifully. NOT!,Down
Just named General H.R. McMaster National Security Advisor.,Down
"The so-called angry crowds in home districts of some Republicans are actually, in numerous cases, planned out by liberal activists. Sad!",NC
"One thing I will say about Rep. Keith Ellison, in his fight to lead the DNC, is that he was the one who predicted early that I would win!",NC
Very much enjoyed my tour of the Smithsonian's National Museum of African American History and Culture...A great job done by amazing people!,NC
'SandP 500 Edges Higher After Trump Renews Jobs Pledge' ,Down
Seven people shot and killed yesterday in Chicago. What is going on there - totally out of control. Chicago needs help!,Down
Big interview tonight by Henry Kravis at The Business Council of Washington. Looking forward to it!,Down
"The FBI is totally unable to stop the national security ""leakers"" that have permeated our government for a long time. They can't even find the leakers within the FBI itself. Classified information is being given to media that could have a devastating effect on U.S. FIND NOW",Down
Trump vows to fight 'epidemic' of human trafficking ,Down
I will not be attending the White House Correspondents' Association Dinner this year. Please wish everyone well and have a great evening!,NC
"Great optimism for future of U.S. business, AND JOBS, with the DOW having an 11th straight record close. Big tax and regulation cuts coming!",NC
The media has not reported that the National Debt in my first month went down by $12 billion vs a $200 billion increase in Obama first mo.,NC
